,0,1,2,3,4,5,6
138,2020-03-15 14:47:50,江苏,宿迁,13,0,13,0
139,2020-03-15 14:47:50,江苏,镇江,12,0,12,0
140,2020-03-15 14:47:50,重庆,万州区,118,0,114,4
141,2020-03-15 14:47:50,重庆,江北区,28,0,28,0
142,2020-03-15 14:47:50,重庆,云阳县,25,0,25,0
143,2020-03-15 14:47:50,重庆,綦江区,23,0,23,0
144,2020-03-15 14:47:50,重庆,合川区,23,0,23,0
145,2020-03-15 14:47:50,重庆,长寿区,22,0,21,0
146,2020-03-15 14:47:50,重庆,奉节县,22,0,22,0
147,2020-03-15 14:47:50,重庆,开州区,21,0,20,1
148,2020-03-15 14:47:50,重庆,九龙坡区,21,0,20,1
149,2020-03-15 14:47:50,重庆,忠县,21,0,21,0
150,2020-03-15 14:47:50,重庆,渝中区,20,0,20,0
151,2020-03-15 14:47:50,重庆,垫江县,20,0,20,0
152,2020-03-15 14:47:50,重庆,潼南区,18,0,18,0
153,2020-03-15 14:47:50,重庆,两江新区,17,0,17,0
154,2020-03-15 14:47:50,重庆,渝北区,17,0,17,0
155,2020-03-15 14:47:50,重庆,南岸区,15,0,15,0
156,2020-03-15 14:47:50,重庆,石柱县,15,0,15,0
157,2020-03-15 14:47:50,重庆,大足区,14,0,14,0
158,2020-03-15 14:47:50,重庆,巫溪县,14,0,14,0
159,2020-03-15 14:47:50,重庆,丰都县,10,0,10,0
160,2020-03-15 14:47:50,重庆,铜梁区,10,0,10,0
161,2020-03-15 14:47:50,重庆,巫山县,10,0,10,0
162,2020-03-15 14:47:50,重庆,荣昌区,9,0,9,0
163,2020-03-15 14:47:50,重庆,沙坪坝区,9,0,9,0
164,2020-03-15 14:47:50,重庆,璧山区,9,0,9,0
165,2020-03-15 14:47:50,重庆,大渡口区,7,0,7,0
166,2020-03-15 14:47:50,重庆,巴南区,6,0,6,0
167,2020-03-15 14:47:50,重庆,永川区,5,0,5,0
168,2020-03-15 14:47:50,重庆,涪陵区,5,0,5,0
169,2020-03-15 14:47:50,重庆,高新区,4,0,4,0
170,2020-03-15 14:47:50,重庆,江津区,4,0,4,0
171,2020-03-15 14:47:50,重庆,梁平区,4,0,4,0
172,2020-03-15 14:47:50,重庆,城口县,2,0,2,0
173,2020-03-15 14:47:50,重庆,彭水县,2,0,2,0
174,2020-03-15 14:47:50,重庆,黔江区,2,0,2,0
175,2020-03-15 14:47:50,重庆,酉阳县,1,0,1,0
176,2020-03-15 14:47:50,重庆,武隆区,1,0,1,0
177,2020-03-15 14:47:50,重庆,万盛经开区,1,0,1,0
178,2020-03-15 14:47:50,重庆,秀山县,1,0,1,0
179,2020-03-15 14:47:50,四川,成都,144,0,122,3
180,2020-03-15 14:47:50,四川,甘孜,78,0,76,0
181,2020-03-15 14:47:50,四川,达州,42,0,42,0
182,2020-03-15 14:47:50,四川,南充,39,0,39,0
183,2020-03-15 14:47:50,四川,广安,30,0,30,0
184,2020-03-15 14:47:50,四川,巴中,24,0,24,0
185,2020-03-15 14:47:50,四川,泸州,24,0,24,0
186,2020-03-15 14:47:50,四川,内江,22,0,22,0
